Samples,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,x_acc2,y_acc2,z_acc2,x_mag,y_mag,z_mag
164,0,-22,1007,-1120,0,-70,-11,-23,1009,-580,-24,-402
165,0,-23,1008,-1120,0,-70,-8,-23,1007,-582,-25,-399
166,0,-22,1008,-1120,0,-70,-10,-22,1010,-574,-22,-406
167,0,-22,1008,-1120,-70,-70,-7,-24,1009,-574,-10,-402
168,1,-22,1007,-1120,0,-70,-10,-26,1011,-580,-27,-409
169,0,-22,1007,-1050,0,-70,-11,-24,1011,-582,-27,-408
170,1,-23,1007,-1190,0,-70,-9,-24,1012,-577,-25,-403
171,0,-22,1008,-1120,0,-70,-9,-23,1007,-588,-16,-403
172,0,-22,1007,-1120,0,-70,-8,-28,1013,-579,-18,-411
173,0,-22,1008,-1120,0,-70,-10,-25,1007,-579,-24,-408
174,0,-23,1007,-1120,0,-70,-10,-25,1006,-579,-25,-396
175,0,-22,1009,-1120,0,-70,-7,-24,1009,-582,-24,-403
176,0,-21,1009,-1050,-70,-70,-9,-23,1006,-580,-22,-402
177,2,-22,1008,-1120,-70,-70,-8,-22,1009,-577,-25,-405
178,0,-22,1007,-1120,0,-70,-11,-24,1012,-576,-28,-399
179,0,-22,1007,-1120,-70,-70,-8,-24,1005,-582,-19,-400
180,0,-21,1009,-1050,0,-70,-9,-27,1011,-583,-27,-405
181,0,-23,1006,-1120,0,-70,-8,-23,1011,-583,-19,-406
182,0,-23,1008,-1050,0,-70,-10,-25,1013,-574,-9,-402
183,0,-22,1007,-1120,-70,-70,-9,-22,1012,-579,-18,-397
184,1,-23,1008,-1050,-70,-70,-7,-25,1007,-576,-22,-399
185,1,-24,1007,-1050,0,-70,-9,-23,1009,-571,-15,-402
186,1,-22,1009,-1050,-70,-70,-10,-22,1013,-577,-24,-400
187,0,-22,1006,-1120,0,-70,-10,-21,1010,-577,-25,-400
188,0,-23,1008,-1120,0,-70,-9,-21,1004,-576,-22,-402
189,0,-22,1007,-1120,0,-70,-7,-26,1012,-573,-22,-396
190,0,-22,1008,-1120,-70,-140,-10,-24,1011,-565,-22,-397
191,0,-23,1009,-1120,0,-70,-8,-23,1015,-582,-27,-396
192,0,-21,1008,-1050,-70,-70,-9,-24,1006,-570,-19,-390
193,1,-21,1008,-1050,0,-70,-8,-23,1005,-576,-21,-388
194,0,-22,1006,-1120,0,-70,-11,-23,1010,-585,-21,-391
195,1,-23,1007,-1120,0,-70,-7,-25,1015,-580,-19,-397
196,2,-22,1010,-1050,0,-70,-11,-25,1009,-576,-15,-397
197,0,-24,1005,-1190,0,-70,-13,-26,1000,-579,-24,-397
198,1,-21,1011,-1050,-70,-70,-7,-24,1015,-580,-21,-402
199,0,-23,1004,-1190,0,-70,-9,-22,1010,-577,-16,-387
200,0,-21,1013,-1050,-70,-140,-9,-24,1007,-573,-19,-400
201,0,-23,1003,-1120,0,-70,-9,-26,1008,-577,-16,-399
202,0,-21,1010,-1120,-140,-70,-13,-25,1007,-571,-19,-394
203,-4,-22,1007,-1120,-70,-70,-7,-23,1010,-571,-18,-397
204,-44,-13,1009,-1050,-140,-140,-7,-1,1012,-577,-21,-396
205,-72,-8,1006,-1190,-140,-210,13,59,1004,-570,-27,-397
206,-88,6,1011,-980,-210,-840,25,74,1018,-573,-19,-396
207,-103,12,1017,-1050,70,-1610,0,-45,1022,-583,-25,-406
208,150,-6,1064,-1680,210,-1260,-35,-361,902,-580,-21,-394
209,250,-49,885,-140,-980,2730,22,-95,1129,-585,-24,-394
210,55,29,996,-1470,-420,-2730,45,-66,985,-574,-27,-394
211,38,27,1059,560,-2800,-7280,32,-69,1061,-588,-19,-397
